ID,Word,Spell Check,"In W2V,S2V",Replacements
CDR-764,ape,ape,Yes,ape
CDR-764,chimp,chimpanzee,No,primate
CDR-764,rhino,rhinoceros,Yes,rhinoceros
CDU-767,cat,cat,Yes,cat
CDU-767,dog,dog,Yes,dog
CDU-767,fish,fish,Yes,fish
CDU-767,tiger,tiger,Yes,tiger
CDU-767,lion,lion,Yes,lion
CDU-767,rabbit,rabbit,Yes,rabbit
CDU-767,raccoon,raccoon,No,american
CDU-767,deer,deer,Yes,deer
CDU-767,mammoth,mammoth,Yes,mammoth
CDU-767,whale,whale,Yes,whale
CDU-767,shark,shark,Yes,shark
CDU-767,bird,bird,Yes,bird
CDU-767,penguin,penguin,Yes,penguin
CDU-767,wolf,wolf,Yes,wolf
CDU-767,badger,badger,Yes,badger
CDU-767,fish,fish,Yes,fish
CDU-767,baboon,baboon,Yes,baboon
CDU-767,gorilla,gorilla,Yes,gorilla
CDU-767,ape,ape,Yes,ape
